x_mm,pressure_kpa,temperature_k,velocity_m_s
0.0,1621.1,3222.9,26.2602
2.1,1621.0997,3222.9,26.8891
4.1,1620.9994,3222.9,27.7093
6.2,1620.999,3222.9,29.6471
8.2,1620.8986,3222.9,32.0042
10.3,1620.798,3222.9,35.6098
12.3,1620.6973,3222.8,40.1498
14.4,1620.4962,3222.7,46.6991
16.4,1620.0946,3222.6,55.4691
18.5,1619.4918,3222.4,68.242
20.5,1618.2873,3222.0,86.014
22.6,1616.2785,3221.3,111.7788
24.6,1612.0614,3219.9,151.2488
26.7,1602.9211,3216.7,212.781
28.7,1580.8245,3209.1,316.2272
30.8,1519.1181,3187.2,513.1498
32.8,910.5985,2919.1,1312.584
34.9,489.824,2626.1,2044.7188
36.9,316.5556,2440.2,2356.398
39.0,230.0471,2315.3,2572.7875
41.0,174.3198,2213.9,2674.1393
43.1,137.3225,2132.6,2783.3458
45.1,112.7067,2069.5,2881.7494
47.2,95.4698,2020.0,2919.3119
49.2,86.6048,1993.4,2989.7814
51.3,81.0436,1976.9,2991.9065
