architecture,time_s,burn_fraction,chamber_pressure_kpa,required_feed_pressure_kpa,fuel_tank_pressure_kpa,oxidizer_tank_pressure_kpa,fuel_margin_kpa,oxidizer_margin_kpa,pump_differential_pressure_kpa,pump_speed_fraction
pressure-fed,0.0,0.0,1282.5,1521.757,1580.4715,1611.768,58.7145,90.011,0.0,0.0
pressure-fed,0.3,0.025,1282.5,1521.757,1527.232,1557.402,5.475,35.645,0.0,0.0
pressure-fed,0.6,0.05,1246.4694,1478.7752,1477.5639,1506.6831,-1.2113,27.9078,0.0,0.0
pressure-fed,0.9,0.075,1207.4646,1432.2603,1431.1237,1459.2602,-1.1367,26.9999,0.0,0.0
pressure-fed,1.2,0.1,1170.9078,1388.6789,1387.61,1414.8259,-1.0689,26.147,0.0,0.0
pressure-fed,1.5,0.125,1136.5782,1347.765,1346.7579,1373.1094,-1.0071,25.3444,0.0,0.0
pressure-fed,1.8,0.15,1104.2805,1309.2838,1308.3331,1333.8716,-0.9507,24.5878,0.0,0.0
pressure-fed,2.1,0.175,1073.8416,1273.0271,1272.128,1296.9005,-0.899,23.8735,0.0,0.0
pressure-fed,2.4,0.2,1045.1074,1238.8095,1237.958,1262.0075,-0.8515,23.198,0.0,0.0
pressure-fed,2.7,0.225,1017.9403,1206.4658,1205.658,1229.0241,-0.8078,22.5583,0.0,0.0
pressure-fed,3.0,0.25,992.2168,1175.8479,1175.0803,1197.7995,-0.7675,21.9516,0.0,0.0
pressure-fed,3.3,0.275,967.8264,1146.8228,1146.0925,1168.1984,-0.7303,21.3756,0.0,0.0
pressure-fed,3.6,0.3,944.6691,1119.2708,1118.5751,1140.0987,-0.6957,20.8279,0.0,0.0
pressure-fed,3.9,0.325,922.6549,1093.0839,1092.4202,1113.3905,-0.6637,20.3065,0.0,0.0
pressure-fed,4.2,0.35,901.7021,1068.1643,1067.5304,1087.974,-0.6339,19.8097,0.0,0.0
pressure-fed,4.5,0.375,881.7367,1044.4231,1043.817,1063.7588,-0.6061,19.3357,0.0,0.0
pressure-fed,4.8,0.4,862.6913,1021.7797,1021.1995,1040.6628,-0.5802,18.8831,0.0,0.0
pressure-fed,5.1,0.425,844.5045,1000.1606,999.6046,1018.611,-0.556,18.4504,0.0,0.0
pressure-fed,5.4,0.45,827.1202,979.4986,978.9652,997.535,-0.5334,18.0364,0.0,0.0
pressure-fed,5.7,0.475,810.4871,959.7323,959.2202,977.3721,-0.5121,17.6398,0.0,0.0
pressure-fed,6.0,0.5,794.558,940.8053,940.3131,958.0651,-0.4922,17.2597,0.0,0.0
pressure-fed,6.3,0.525,779.2898,922.666,922.1925,939.5611,-0.4735,16.8951,0.0,0.0
pressure-fed,6.6,0.55,764.6426,905.2667,904.8109,921.8117,-0.4558,16.5449,0.0,0.0
pressure-fed,6.9,0.575,750.5798,888.5637,888.1245,904.7722,-0.4392,16.2085,0.0,0.0
pressure-fed,7.2,0.6,737.0674,872.5164,872.0928,888.4013,-0.4235,15.885,0.0,0.0
pressure-fed,7.5,0.625,724.0742,857.0874,856.6786,872.661,-0.4087,15.5736,0.0,0.0
pressure-fed,7.8,0.65,711.5712,842.242,841.8473,857.5159,-0.3948,15.2738,0.0,0.0
pressure-fed,8.1,0.675,699.5314,827.9483,827.5668,842.9332,-0.3815,14.9849,0.0,0.0
pressure-fed,8.4,0.7,687.93,814.1763,813.8073,828.8826,-0.369,14.7063,0.0,0.0
pressure-fed,8.7,0.725,676.7436,800.8983,800.5412,815.3359,-0.3571,14.4376,0.0,0.0
pressure-fed,9.0,0.75,665.9507,788.0886,787.7428,802.2667,-0.3458,14.1781,0.0,0.0
pressure-fed,9.3,0.775,655.5311,775.7231,775.388,789.6505,-0.335,13.9274,0.0,0.0
pressure-fed,9.6,0.8,645.4659,763.7793,763.4545,777.4644,-0.3248,13.6851,0.0,0.0
pressure-fed,9.9,0.825,635.7378,752.2364,751.9213,765.6872,-0.3151,13.4508,0.0,0.0
pressure-fed,10.2,0.85,626.3301,741.0746,740.7688,754.2987,-0.3058,13.2241,0.0,0.0
pressure-fed,10.5,0.875,617.2275,730.2757,729.9787,743.2803,-0.297,13.0046,0.0,0.0
pressure-fed,10.8,0.9,608.4156,719.8225,719.5339,732.6145,-0.2886,12.7921,0.0,0.0
pressure-fed,11.1,0.925,599.8809,709.6988,709.4182,722.2848,-0.2806,12.5861,0.0,0.0
pressure-fed,11.4,0.95,591.6106,699.8894,699.6165,712.2758,-0.2729,12.3864,0.0,0.0
pressure-fed,11.7,0.975,583.5927,690.3802,690.1147,702.5729,-0.2655,12.1927,0.0,0.0
pressure-fed,12.0,1.0,575.8161,681.1577,680.8992,693.1624,-0.2585,12.0047,0.0,0.0
