architecture,time_s,burn_fraction,chamber_pressure_kpa,required_feed_pressure_kpa,fuel_tank_pressure_kpa,oxidizer_tank_pressure_kpa,fuel_margin_kpa,oxidizer_margin_kpa,pump_differential_pressure_kpa,pump_speed_fraction
pump-fed,0.0,0.0,1458.0,1728.5799,262.44,306.18,21.3445,65.0845,1487.4844,0.97619
pump-fed,0.4,0.033333,1458.0,1728.5799,262.1498,305.8405,22.2334,65.9242,1488.6635,0.97667
pump-fed,0.8,0.066667,1458.0,1728.5799,261.7959,305.4266,23.1277,66.7584,1489.9117,0.97714
pump-fed,1.2,0.1,1458.0,1728.5799,261.4133,304.979,24.0245,67.5902,1491.1911,0.97762
pump-fed,1.6,0.133333,1458.0,1728.5799,261.0107,304.5081,24.923,68.4204,1492.4921,0.9781
pump-fed,2.0,0.166667,1458.0,1728.5799,260.5926,304.019,25.8227,69.2492,1493.81,0.97857
pump-fed,2.4,0.2,1458.0,1728.5799,260.1616,303.5149,26.7236,70.0769,1495.1418,0.97905
pump-fed,2.8,0.233333,1458.0,1728.5799,259.7197,302.998,27.6254,70.9037,1496.4856,0.97952
pump-fed,3.2,0.266667,1458.0,1728.5799,259.2682,302.4698,28.528,71.7296,1497.8397,0.98
pump-fed,3.6,0.3,1458.0,1728.5799,258.8081,301.9317,29.4313,72.5549,1499.2031,0.98048
pump-fed,4.0,0.333333,1458.0,1728.5799,258.3403,301.3844,30.3353,73.3795,1500.5749,0.98095
pump-fed,4.4,0.366667,1458.0,1728.5799,257.8653,300.8289,31.2399,74.2035,1501.9544,0.98143
pump-fed,4.8,0.4,1458.0,1728.5799,257.3839,300.2658,32.145,75.0269,1503.341,0.9819
pump-fed,5.2,0.433333,1458.0,1728.5799,256.8964,299.6955,33.0507,75.8498,1504.7342,0.98238
pump-fed,5.6,0.466667,1458.0,1728.5799,256.4032,299.1187,33.9569,76.6723,1506.1335,0.98286
pump-fed,6.0,0.5,1458.0,1728.5799,255.9048,298.5356,34.8634,77.4942,1507.5385,0.98333
pump-fed,6.4,0.533333,1458.0,1728.5799,255.4013,297.9466,35.7705,78.3158,1508.949,0.98381
pump-fed,6.8,0.566667,1458.0,1728.5799,254.893,297.3521,36.6779,79.137,1510.3647,0.98429
pump-fed,7.2,0.6,1458.0,1728.5799,254.3803,296.7523,37.5857,79.9577,1511.7853,0.98476
pump-fed,7.6,0.633333,1458.0,1728.5799,253.8632,296.1475,38.4939,80.7782,1513.2105,0.98524
pump-fed,8.0,0.666667,1458.0,1728.5799,253.3421,295.538,39.4024,81.5982,1514.6401,0.98571
pump-fed,8.4,0.7,1458.0,1728.5799,252.817,294.9238,40.3112,82.418,1516.074,0.98619
pump-fed,8.8,0.733333,1458.0,1728.5799,252.2882,294.3052,41.2204,83.2374,1517.512,0.98667
pump-fed,9.2,0.766667,1458.0,1728.5799,251.7558,293.6824,42.1299,84.0565,1518.954,0.98714
pump-fed,9.6,0.8,1458.0,1728.5799,251.2198,293.0555,43.0396,84.8753,1520.3997,0.98762
pump-fed,10.0,0.833333,1458.0,1728.5799,250.6805,292.4247,43.9497,85.6938,1521.849,0.9881
pump-fed,10.4,0.866667,1458.0,1728.5799,250.138,291.79,44.86,86.5121,1523.3019,0.98857
pump-fed,10.8,0.9,1458.0,1728.5799,249.5923,291.1517,45.7706,87.33,1524.7582,0.98905
pump-fed,11.2,0.933333,1458.0,1728.5799,249.0436,290.5099,46.6815,88.1478,1526.2177,0.98952
pump-fed,11.6,0.966667,1458.0,1728.5799,248.4919,289.8646,47.5926,88.9652,1527.6805,0.99
pump-fed,12.0,1.0,1458.0,1728.5799,247.9374,289.2159,48.5039,89.7825,1529.1464,0.99048
