x_mm,radius_mm,diameter_mm,section,normalized_x
0.0,34.0,68.0,chamber_entry,0.0
3.7,33.5,67.1,converging,0.0382
7.4,32.2,64.5,converging,0.0764
11.1,30.3,60.6,converging,0.1145
14.8,27.8,55.7,converging,0.1527
18.5,25.1,50.1,converging,0.1909
22.2,22.1,44.2,converging,0.2291
25.9,19.2,38.3,converging,0.2673
29.6,16.4,32.8,converging,0.3054
33.3,13.9,27.9,throat,0.3436
33.8,14.0,27.9,diverging_arc,0.349
34.4,14.0,28.1,diverging_arc,0.3544
34.9,14.2,28.3,diverging_arc,0.3597
35.4,14.4,28.7,diverging_arc,0.3648
35.8,14.6,29.2,diverging_arc,0.3697
36.3,14.9,29.7,diverging_arc,0.3743
40.5,16.8,33.6,bell,0.4173
44.5,18.8,37.6,bell,0.459
48.4,20.8,41.6,bell,0.4993
52.2,22.8,45.7,bell,0.5383
55.9,24.9,49.8,bell,0.576
59.4,26.9,53.9,bell,0.6124
62.8,29.0,58.0,bell,0.6475
66.1,31.0,62.0,bell,0.6812
69.2,33.0,65.9,bell,0.7137
72.2,34.9,69.8,bell,0.7448
75.1,36.7,73.4,bell,0.7746
77.9,38.5,76.9,bell,0.803
80.5,40.1,80.2,bell,0.8302
83.0,41.6,83.2,bell,0.856
85.4,43.0,86.0,bell,0.8806
87.6,44.2,88.4,bell,0.9038
89.8,45.2,90.4,bell,0.9256
91.8,46.1,92.2,bell,0.9462
93.6,46.8,93.5,bell,0.9655
95.4,47.2,94.5,bell,0.9834
97.0,47.5,95.0,exit,1.0
