x_mm,pressure_kpa,temperature_k,velocity_m_s
0.0,262.9,3200.0,190.4
32.5,254.7,3141.1,278.0
64.9,246.5,3082.2,365.5
97.4,238.3,3023.4,453.1
129.8,230.1,2964.5,540.7
162.3,221.9,2905.6,628.2
194.8,213.7,2846.7,715.8
227.2,205.5,2787.8,803.4
259.7,197.3,2729.0,891.0
292.1,189.1,2670.1,978.5
324.6,180.9,2611.2,1066.1
357.1,172.7,2552.3,1153.7
389.5,164.5,2493.4,1241.3
422.0,156.3,2434.6,1328.8
454.4,148.1,2375.7,1416.4
486.9,139.9,2316.8,1504.0
519.4,131.7,2257.9,1591.6
551.8,123.5,2199.0,1679.1
584.3,115.3,2140.2,1766.7
616.7,107.1,2081.3,1854.3
649.2,98.9,2022.4,1941.8
681.7,90.7,1963.5,2029.4
714.1,82.5,1904.6,2117.0
746.6,80.0,1845.8,2204.6
779.0,80.0,1786.9,2292.1
811.5,80.0,1728.0,2379.7
