architecture,time_s,burn_fraction,chamber_pressure_kpa,required_feed_pressure_kpa,fuel_tank_pressure_kpa,oxidizer_tank_pressure_kpa,fuel_margin_kpa,oxidizer_margin_kpa,pump_differential_pressure_kpa,pump_speed_fraction
pressure-fed,0.0,0.0,1282.5,1521.7775,1580.4959,1611.7929,58.7184,90.0154,0.0,0.0
pressure-fed,0.3,0.025,1282.5,1521.7775,1527.2555,1557.426,5.478,35.6485,0.0,0.0
pressure-fed,0.6,0.05,1246.5527,1478.8939,1477.5866,1506.7062,-1.3073,27.8123,0.0,0.0
pressure-fed,0.9,0.075,1207.5433,1432.3723,1431.1456,1459.2826,-1.2267,26.9103,0.0,0.0
pressure-fed,1.2,0.1,1170.9823,1388.7848,1387.6312,1414.8475,-1.1536,26.0627,0.0,0.0
pressure-fed,1.5,0.125,1136.6489,1347.8653,1346.7784,1373.1304,-1.0869,25.265,0.0,0.0
pressure-fed,1.8,0.15,1104.3477,1309.379,1308.353,1333.8919,-1.026,24.5129,0.0,0.0
pressure-fed,2.1,0.175,1073.9056,1273.1176,1272.1474,1296.9202,-0.9702,23.8027,0.0,0.0
pressure-fed,2.4,0.2,1045.1684,1238.8957,1237.9767,1262.0266,-0.919,23.1309,0.0,0.0
pressure-fed,2.7,0.225,1017.9985,1206.548,1205.6762,1229.0427,-0.8718,22.4946,0.0,0.0
pressure-fed,3.0,0.25,992.2725,1175.9264,1175.0981,1197.8176,-0.8283,21.8912,0.0,0.0
pressure-fed,3.3,0.275,967.8797,1146.8979,1146.1098,1168.2159,-0.7881,21.3181,0.0,0.0
pressure-fed,3.6,0.3,944.7202,1119.3427,1118.5919,1140.1158,-0.7508,20.7731,0.0,0.0
pressure-fed,3.9,0.325,922.7039,1093.1528,1092.4366,1113.4071,-0.7163,20.2543,0.0,0.0
pressure-fed,4.2,0.35,901.7492,1068.2304,1067.5463,1087.9902,-0.6841,19.7598,0.0,0.0
pressure-fed,4.5,0.375,881.782,1044.4866,1043.8325,1063.7747,-0.6541,19.288,0.0,0.0
pressure-fed,4.8,0.4,862.7349,1021.8408,1021.2147,1040.6783,-0.6262,18.8375,0.0,0.0
pressure-fed,5.1,0.425,844.5465,1000.2194,999.6194,1018.6261,-0.6001,18.4067,0.0,0.0
pressure-fed,5.4,0.45,827.1608,979.5553,978.9797,997.5497,-0.5756,17.9944,0.0,0.0
pressure-fed,5.7,0.475,810.5262,959.787,959.2343,977.3866,-0.5527,17.5996,0.0,0.0
pressure-fed,6.0,0.5,794.5959,940.8581,940.327,958.0792,-0.5312,17.221,0.0,0.0
pressure-fed,6.3,0.525,779.3264,922.717,922.2061,939.5749,-0.511,16.8578,0.0,0.0
pressure-fed,6.6,0.55,764.6781,905.3161,904.8242,921.8252,-0.4919,16.5091,0.0,0.0
pressure-fed,6.9,0.575,750.6141,888.6114,888.1375,904.7854,-0.474,16.174,0.0,0.0
pressure-fed,7.2,0.6,737.1007,872.5626,872.1055,888.4143,-0.4571,15.8517,0.0,0.0
pressure-fed,7.5,0.625,724.1065,857.1322,856.6911,872.6737,-0.4411,15.5415,0.0,0.0
pressure-fed,7.8,0.65,711.6025,842.2855,841.8595,857.5283,-0.426,15.2428,0.0,0.0
pressure-fed,8.1,0.675,699.5618,827.9905,827.5787,842.9454,-0.4117,14.955,0.0,0.0
pressure-fed,8.4,0.7,687.9595,814.2172,813.8191,828.8946,-0.3982,14.6774,0.0,0.0
pressure-fed,8.7,0.725,676.7723,800.9381,800.5528,815.3476,-0.3853,14.4095,0.0,0.0
pressure-fed,9.0,0.75,665.9786,788.1273,787.7542,802.2782,-0.3731,14.1509,0.0,0.0
pressure-fed,9.3,0.775,655.5583,775.7607,775.3992,789.6618,-0.3615,13.9011,0.0,0.0
pressure-fed,9.6,0.8,645.4925,763.8159,763.4654,777.4756,-0.3505,13.6596,0.0,0.0
pressure-fed,9.9,0.825,635.7636,752.272,751.932,765.6981,-0.34,13.4261,0.0,0.0
pressure-fed,10.2,0.85,626.3553,741.1094,740.7793,754.3095,-0.3301,13.2001,0.0,0.0
pressure-fed,10.5,0.875,617.2521,730.3096,729.9891,743.2909,-0.3205,12.9813,0.0,0.0
pressure-fed,10.8,0.9,608.4396,719.8555,719.5441,732.6249,-0.3114,12.7694,0.0,0.0
pressure-fed,11.1,0.925,599.9043,709.731,709.4282,722.2951,-0.3028,12.5641,0.0,0.0
pressure-fed,11.4,0.95,591.6334,699.9209,699.6264,712.2858,-0.2945,12.365,0.0,0.0
pressure-fed,11.7,0.975,583.615,690.4109,690.1244,702.5828,-0.2865,12.1718,0.0,0.0
pressure-fed,12.0,1.0,575.8379,681.1877,680.9088,693.1722,-0.279,11.9844,0.0,0.0
