iteration,chamber_pressure_kpa,chamber_density_kg_m3,chamber_velocity_m_s,thrust_coefficient,relative_error
1.0,1341.3,1.1,180.1,1.4,4.616147
2.0,1032.6,0.8,180.1,1.4,3.291086
3.0,810.8,0.6,180.1,1.4,2.345742
4.0,651.7,0.5,180.1,1.4,1.670237
5.0,537.5,0.4,180.1,1.4,1.187182
6.0,455.8,0.4,180.1,1.4,0.841796
7.0,397.5,0.3,180.1,1.4,0.595115
8.0,356.0,0.3,180.1,1.4,0.419305
9.0,326.5,0.3,180.1,1.4,0.29439
10.0,305.7,0.2,180.1,1.4,0.205974
11.0,291.1,0.2,180.1,1.3,0.143658
12.0,280.9,0.2,180.1,1.3,0.099922
13.0,273.7,0.2,180.1,1.3,0.069345
14.0,268.8,0.2,180.1,1.3,0.048041
15.0,265.3,0.2,180.1,1.3,0.033237
16.0,262.9,0.2,180.1,1.3,0.022972
17.0,261.3,0.2,180.1,1.3,0.015866
18.0,260.1,0.2,180.1,1.3,0.010953
19.0,259.3,0.2,180.1,1.3,0.007558
20.0,258.8,0.2,180.1,1.3,0.005214
21.0,258.4,0.2,180.1,1.3,0.003597
