x_mm,radius_mm,diameter_mm,section,normalized_x
0.0,34.0,68.0,chamber_entry,0.0
3.7,33.5,67.1,converging,0.0382
7.4,32.2,64.5,converging,0.0764
11.1,30.3,60.6,converging,0.1145
14.8,27.8,55.7,converging,0.1527
18.5,25.1,50.1,converging,0.1909
22.2,22.1,44.2,converging,0.2291
25.9,19.2,38.3,converging,0.2673
29.6,16.4,32.8,converging,0.3054
33.3,13.9,27.9,throat,0.3436
33.8,14.0,27.9,diverging_arc,0.3488
34.3,14.0,28.1,diverging_arc,0.354
34.8,14.2,28.3,diverging_arc,0.359
35.3,14.3,28.6,diverging_arc,0.3639
35.8,14.5,29.1,diverging_arc,0.3687
36.2,14.8,29.6,diverging_arc,0.3732
40.4,17.5,34.9,bell,0.4167
44.5,20.0,40.1,bell,0.4589
48.5,22.5,45.0,bell,0.4997
52.3,24.8,49.7,bell,0.5391
56.0,27.1,54.2,bell,0.5772
59.5,29.2,58.4,bell,0.6139
63.0,31.2,62.4,bell,0.6492
66.2,33.1,66.2,bell,0.6832
69.4,34.9,69.8,bell,0.7158
72.4,36.6,73.1,bell,0.747
75.3,38.1,76.2,bell,0.7768
78.1,39.6,79.1,bell,0.8053
80.7,40.9,81.8,bell,0.8324
83.2,42.1,84.2,bell,0.8582
85.6,43.2,86.5,bell,0.8825
87.8,44.2,88.4,bell,0.9055
89.9,45.1,90.2,bell,0.9272
91.9,45.9,91.7,bell,0.9474
93.7,46.5,93.1,bell,0.9663
95.4,47.1,94.1,bell,0.9838
97.0,47.5,95.0,exit,1.0
