x_cm,radius_cm,source_figure
0.0000,1.2700,Figure 3
0.3929,1.4371,Figure 3
0.4641,1.4961,Figure 3
0.6068,1.6190,Figure 3
0.7503,1.7404,Figure 3
0.8230,1.8031,Figure 3
1.3246,2.2426,Figure 3
1.7844,2.6515,Figure 3
2.3777,3.1643,Figure 3
3.2062,4.2001,Figure 3
7.0256,6.6703,Figure 3
7.8931,7.2426,Figure 3
9.6269,8.3320,Figure 3
10.6505,8.9433,Figure 3
11.6738,9.5341,Figure 3
12.9022,10.2189,Figure 3
15.3429,11.5108,Figure 3
16.5392,12.1150,Figure 3
19.5651,13.5702,Figure 3
23.3688,15.2710,Figure 3
25.4869,16.1651,Figure 3
29.5410,17.7871,Figure 3
33.7297,19.3558,Figure 3
36.2996,20.2705,Figure 3
38.8696,21.1524,Figure 3
41.4193,21.9977,Figure 3
47.2194,23.8201,Figure 3
51.1703,24.9895,Figure 3
55.1213,26.1064,Figure 3
60.4944,27.5486,Figure 3
71.1091,30.1694,Figure 3
76.2211,31.3365,Figure 3
90.6396,34.3444,Figure 3
105.0371,36.9933,Figure 3
113.0838,38.3365,Figure 3
128.5725,40.6598,Figure 3
